Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis
 'Overcoming the Blood-Brain Tumor Barrier with Docetaxel-Loaded Mesoporous Silica Nanoparticles for Treatment of Temozolomide-Resistant Glioblastoma.txt', 'Colistimethate sodium for the treatment of chronic pulmonary infection in cystic fibrosis  an evidence-based review of its place in therapy.txt', 'RNautophagic regulation of DNMT3a-dependent DNA methylation by Linc00942 enhances chemoresistance in gastric cancer.txt'
 'Emerging Nano-Based Strategies Against Drug Resistance in Tumor Chemotherapy.txt', 'Bortezomib Plus Continuous B Cell Depletion Results in Sustained Plasma Cell Depletion and Amelioration of Lupus Nephritis in NZB W F1 Mice.txt', 'Statin-Induced Geranylgeranyl Pyrophosphate Depletion Promotes PCSK9-Dependent Adipose Insulin Resistance.txt'
 'Current and future landscape of poly (ADP-ribose) polymerase inhibition resistance.txt', 'Azithromycin as treatment for disseminated Mycobacterium avium complex in AIDS patients.txt', 'Involvement of MAP3K8 and miR-17-5p in poor virologic response to interferon-based combination therapy for chronic hepatitis C.txt'
 'Spectrum of Mechanisms of Resistance to Crizotinib and Lorlatinib in ROS1 Fusion-Positive Lung Cancer.txt',, 'Maraviroc (UK-427
,,857)
,, a potent
,, orally bioavailable
,, and selective small-molecule inhibitor of chemokine receptor CCR5 with broad-spectrum anti-human immunodeficiency virus type 1 activity.txt'
,, 'Inhibition of mTOR restores cisplatin sensitivity through down-regulation of growth and anti-apoptotic proteins.txt'
'Gemcitabine as a molecular targeting agent that blocks the Akt cascade in platinum-resistant ovarian cancer.txt','Late resistance to imatinib therapy in a metastatic gastrointestinal stromal tumour is associated with a second KIT mutation.txt','Gemcitabine as a molecular targeting agent that blocks the Akt cascade in platinum-resistant ovarian cancer.txt'
 'Review of Platensimycin and Platencin  Inhibitors of β-Ketoacyl-acyl Carrier Protein (ACP) Synthase III (FabH).txt', 'Silencing of Taxol-Sensitizer Genes in Cancer Cells  Lack of Sensitization Effects.txt', 'Review of Platensimycin and Platencin  Inhibitors of β-Ketoacyl-acyl Carrier Protein (ACP) Synthase III (FabH).txt'
 'Purine and pyrimidine pathways as targets in Plasmodium falciparum.txt', 'Pathways to tamoxifen resistance.txt', 'Improved glucose homeostasis in mice with muscle-specific deletion of protein-tyrosine phosphatase 1B.txt'
 'Targeting the replication initiator of the second Vibrio chromosome  towards generation of vibrionaceae-specific antimicrobial agents.txt', 'Phosphoproteomics Reveals MAPK Inhibitors Enhance MET- and EGFR-Driven AKT Signaling in KRAS-Mutant Lung Cancer.txt', 'Disruption of the Candida albicans CYB5 gene results in increased azole sensitivity.txt'
 'Daclatasvir  potential role in hepatitis C.txt', 'Effect of transporter inhibition on the distribution of cefadroxil in rat brain.txt', 'N-cadherin expression is associated with acquisition of EMT phenotype and with enhanced invasion in erlotinib-resistant lung cancer cell lines.txt'
 'Unveiling Anti-Diabetic Potential of Baicalin and Baicalein from Baikal Skullcap  LC-MS, 'Chidamide enhances cytotoxicity of doxorubicin by promoting autophagy and apoptosis in breast cancer.txt', 'The molecular basis of inactivation of metronidazole-resistant Helicobacter pylori using polyethyleneimine functionalized zinc oxide nanoparticles.txt'
 In Silico, 'Frequency and mutation patterns of resistance in patients with chronic hepatitis B infection treated with nucleos(t)ide analogs in add-on and switch strategies.txt', 'PPP6C negatively regulates oncogenic ERK signaling through dephosphorylation of MEK.txt'
 and In Vitro Studies.txt', 'In vitro activity of ceftaroline against Streptococcus pneumoniae isolates exhibiting resistance to penicillin, 'Single-Cell Phosphoproteomics Resolves Adaptive Signaling Dynamics and Informs Targeted Combination Therapy in Glioblastoma.txt'
 'The lantibiotic peptide labyrinthopeptin A1 demonstrates broad anti-HIV and anti-HSV activity with potential for microbicidal applications.txt', amoxicillin, 'Protein tyrosine phosphatases  emerging role in cancer therapy resistance.txt'
 'Structure-activity relationship of dibenzylideneacetone analogs against the neglected disease pathogen, and cefotaxime.txt',
 Trypanosoma brucei.txt', 'Therapeutic Efficacy of Artemether-Lumefantrine (Coartem®) in Treating Uncomplicated P.txt',
, 'Osimertinib and Selpercatinib Efficacy,
, Safety,
, and Resistance in a Multicenter,
, Prospectively Treated Cohort of EGFR-Mutant and RET Fusion-Positive Lung Cancers.txt',
'Collections of simultaneously altered genes as biomarkers of cancer cell drug response.txt','Evaluation of three techniques for detection of low-level methicillin-resistant Staphylococcus aureus (MRSA)  a disk diffusion method with cefoxitin and moxalactam,'Characterizing the Epothilone Binding Site on β-Tubulin by Photoaffinity Labeling  Identification of β-Tubulin Peptides TARGSQQY and TSRGSQQY as Targets of an Epothilone Photoprobe for Polymerized Tubulin.txt'
 'Synergic Role of Dietary Bioactive Compounds in Breast Cancer Chemoprevention and Combination Therapies.txt', the Vitek 2 system, 'Blockade of deubiquitylating enzyme Rpn11 triggers apoptosis in multiple myeloma cells and overcomes bortezomib resistance.txt'
 'Negative correlation between acetyl-CoA acyltransferase 2 and cetuximab resistance in colorectal cancer.txt', and the MRSA-screen latex agglutination test.txt', 'Molecular docking analysis of new generation cephalosporins interactions with recently known SHV-variants.txt'
 'Ponatinib inhibits polyclonal drug-resistant KIT oncoproteins and shows therapeutic potential in heavily pretreated gastrointestinal stromal tumor (GIST) patients.txt', 'Utilization and effectiveness of elbasvir grazoprevir and adoption of resistance-associated substitutions testing in real-world treatment of hepatitis C virus genotype 1A infection  results from the German Hepatitis C-Registry.txt', 'Estrone and 17beta-estradiol reverse breast cancer resistance protein-mediated multidrug resistance.txt'
 'Improved survival with enasidenib versus standard of care in relapsed refractory acute myeloid leukemia associated with IDH2 mutations using historical data and propensity score matching analysis.txt', 'Ripretinib Versus Sunitinib in Patients With Advanced Gastrointestinal Stromal Tumor After Treatment With Imatinib (INTRIGUE)  A Randomized, 'VN 14-1 induces ER stress and autophagy in HP-LTLC human breast cancer cells and has excellent oral pharmacokinetic profile in female Sprague Dawley rats.txt'
, Open-Label,
, Phase III Trial.txt',
, 'Evaluating the potency of HIV-1 protease drugs to combat resistance.txt',
, 'Nitazoxanide  In vitro and in vivo drug effects against Trichuris muris and Ancylostoma ceylanicum,
, alone or in combination.txt',
'Expanding Research on Cannabis-Based Medicines for Liver Steatosis  A Low-Risk High-Reward Way Out of the Present Deadlock.txt','Efficacy of galactose and adalimumab in patients with resistant focal segmental glomerulosclerosis  report of the font clinical trial group.txt','Chronologically modified androgen receptor in recurrent castration-resistant prostate cancer and its therapeutic targeting.txt'
 'Snake venoms  attractive antimicrobial proteinaceous compounds for therapeutic purposes.txt', 'Moxifloxacin population pharmacokinetics and model-based comparison of efficacy between moxifloxacin and ofloxacin in African patients.txt', 'Development of an orally bioavailable mSWI SNF ATPase degrader and acquired mechanisms of resistance in prostate cancer.txt'
 'Fungal naphtho-gamma-pyrones  Potent antibiotics for drug-resistant microbial pathogens.txt', 'Virological and pharmacological parameters predicting the response to lopinavir-ritonavir in heavily protease inhibitor-experienced patients.txt', 'Niclosamide overcomes acquired resistance to erlotinib through suppression of STAT3 in non-small cell lung cancer.txt'
 'Imaging of Plasmodium liver stages to drive next-generation antimalarial drug discovery.txt', 'Treatment and prophylaxis of invasive candidiasis with anidulafungin, '14-3-3sigma attenuates RhoGDI2-induced cisplatin resistance through activation of Erk and p38 in gastric cancer cells.txt'
 'Herb and Spices in Colorectal Cancer Prevention and Treatment  A Narrative Review.txt', caspofungin and micafungin and its impact on use and costs  review of the literature.txt', 'Mechanistic Analysis of the Broad Antiretroviral Resistance Conferred by HIV-1 Envelope Glycoprotein Mutations.txt'
, 'High-dose vincristine sulfate liposome injection for advanced,
, relapsed,
, and refractory adult Philadelphia chromosome-negative acute lymphoblastic leukemia.txt',
'Transport and pharmacodynamics of albitiazolium,'53 activates the CD95 (APO-1 Fas) gene in response to DNA damage by anticancer drugs.txt','Sphingomyelin depletion in cultured cells blocks proteolysis of sterol regulatory element binding proteins at site 1.txt'
 an antimalarial drug candidate.txt', 'Nilotinib counteracts P-glycoprotein-mediated multidrug resistance and synergizes the antitumoral effect of doxorubicin in soft tissue sarcomas.txt', 'The absence of ABCD2 sensitizes mice to disruptions in lipid metabolism by dietary erucic acid.txt'
 'Molecular Basis of Insulin Resistance  The Role of IRS and Foxo1 in the Control of Diabetes Mellitus and Its Complications.txt', 'Phase II study of cilengitide (EMD 121974, 'Mechanisms controlling cell size and shape during isotropic cell spreading.txt'
 'Peroxisome proliferator-activated receptor gamma agonists for preventing recurrent stroke and other vascular events in people with stroke or transient ischaemic attack.txt', NSC 707544) in patients with non-metastatic castration resistant prostate cancer, 'Autophagy induced by valproic acid is associated with oxidative stress in glioma cell lines.txt'
 'Low dose of 2-deoxy-D-glucose kills acute lymphoblastic leukemia cells and reverses glucocorticoid resistance via N-linked glycosylation inhibition under normoxia.txt', NCI-6735.txt', 'Identification of mRNA expression biomarkers associated with epilepsy and response to valproate with co-expression analysis.txt'
 'Omadacycline Is Highly Active In Vitro against Mycoplasma genitalium.txt', 'Favorable outcomes for multidrug and extensively drug resistant tuberculosis patients undergoing surgery.txt', 'Development of Highly Sensitive Digital Droplet PCR for Detection of cKIT Mutations in Circulating Free DNA That Mediate Resistance to TKI Treatment for Gastrointestinal Stromal Tumor (GIST).txt'
 'Identification of Peptide Antagonists to Thioredoxin Glutathione Reductase of Schistosoma japonicum.txt', 'PDK1 Inhibitor BX795 Improves Cisplatin and Radio-Efficacy in Oral Squamous Cell Carcinoma by Downregulating the PDK1 CD47 Akt-Mediated Glycolysis Signaling Pathway.txt', 'Comprehensive analysis of suppressor of cytokine signaling 2 protein in the malignant transformation of NSCLC.txt'
 'Individual saturated fatty acids are associated with different components of insulin resistance and glucose metabolism  the GOCADAN study.txt', 'Overcoming resistance to immune checkpoint therapy in PTEN-null prostate cancer by intermittent anti-PI3Kalpha beta delta treatment.txt', 'Subsequent strategies and underlying mechanism of acquired resistance to PD-1 axis inhibitors in advanced non-small cell lung cancer.txt'
 'Oral administration of wild plant-derived minerals and red ginseng ameliorates insulin resistance in fish through different pathways.txt', 'Nanoparticles for co-delivery of osimertinib and selumetinib to overcome osimertinib-acquired resistance in non-small cell lung cancer.txt', 'TDO2 overexpression correlates with poor prognosis
 'Therapeutic efficacy of sulphadoxine-pyrimethamine and chloroquine for the treatment of uncomplicated malaria in pregnancy in Burkina Faso.txt', 'IL-22 signaling promotes sorafenib resistance in hepatocellular carcinoma via STAT3 CD155 signaling axis.txt', cancer stemness
,, and resistance to cetuximab in bladder cancer.txt'
'Targeting bacterial membrane function  an underexploited mechanism for treating persistent infections.txt','Fusidic acid and clindamycin resistance in community-associated,'Reduced Mitochondrial Membrane Potential Is a Late Adaptation of Trypanosoma brucei brucei to Isometamidium Preceded by Mutations in the γ Subunit of the F1Fo-ATPase.txt'
 'The potential mechanism of Aidi injection against neuroblastoma-an investigation based on network pharmacology analysis.txt', methicillin-resistant Staphylococcus aureus infections in children of Central Greece.txt', 'Inhibition of all-trans retinoic acid-induced granulocytic differentiation of WEHI-3B D+ cells by forced expression of SCL (TAL1) and GATA-1.txt'
 'CXCL12 in Pancreatic Cancer  Its Function and Potential as a Therapeutic Drug Target.txt', 'Phase I study of vandetanib with radiation therapy with or without cisplatin in locally advanced head and neck squamous cell carcinoma.txt', 'TLR4 is a novel determinant of the response to paclitaxel in breast cancer.txt'
 'Tetrandrine, 'Pitavastatin Calcium Confers Fungicidal Properties to Fluconazole by Inhibiting Ubiquinone Biosynthesis and Generating Reactive Oxygen Species.txt', 'Gemcitabine enhances cell invasion via activating HAb18G CD147-EGFR-pSTAT3 signaling.txt'
 a Chinese plant-derived alkaloid, 'In vitro interaction of voriconazole and anidulafungin against triazole-resistant Aspergillus fumigatus.txt', 'Mcl-1 Degradation Is Required for Targeted Therapeutics to Eradicate Colon Cancer Cells.txt'
 is a potential candidate for cancer chemotherapy.txt', 'Evaluation of drug susceptibility profile of Mycobacterium tuberculosis Lineage 1 from Brazil based on whole genome sequencing and phenotypic methods.txt', 'MDM2 induces EMT via the B‑Raf signaling pathway through 14‑3‑3.txt'
 'Oncolytic adenovirus-mediated therapy for prostate cancer.txt', 'Cisplatin resistance in gastric cancer cells is associated with HER2 upregulation-induced epithelial-mesenchymal transition.txt', 'MiR-125b-5p Is Involved in Sorafenib Resistance through Ataxin-1-Mediated Epithelial-Mesenchymal Transition in Hepatocellular Carcinoma.txt'
 'MDM4 inhibition  a novel therapeutic strategy to reactivate p53 in hepatoblastoma.txt', 'Treatment of human pre-B acute lymphoblastic leukemia with the Aurora kinase inhibitor PHA-739358 (Danusertib).txt',
 '2,,
4 DNP improves motor function,,
 preserves medium spiny neuronal identity,,
 and reduces oxidative stress in a mouse model of Huntington's disease.txt',,
'A Descriptive Review of the Action Mechanisms of Berberine,'Optimization of Synergistic Combination Regimens against Carbapenem- and Aminoglycoside-Resistant Clinical Pseudomonas aeruginosa Isolates via Mechanism-Based Pharmacokinetic Pharmacodynamic Modeling.txt','Decitabine- and 5-azacytidine resistance emerges from adaptive responses of the pyrimidine metabolism network.txt'
 Quercetin and Silymarin on Insulin Resistance Hyperinsulinemia and Cardiovascular Prevention.txt', 'A Phase IB Trial of the PI3K Inhibitor Alpelisib and Weekly Cisplatin in Patients with Solid Tumor Malignancies.txt', 'PI3K AKT mTOR pathway activation in primary and corresponding metastatic breast tumors after adjuvant endocrine therapy.txt'
 'The mechanism of Leonuri Herba in improving polycystic ovary syndrome was analyzed based on network pharmacology and molecular docking.txt', 'Activity of gemifloxacin against quinolone-resistant Streptococcus pneumoniae strains in vitro and in a mouse pneumonia model.txt', 'ACACB is a novel metabolism-related biomarker in the prediction of response to cetuximab therapy inmetastatic colorectal cancer.txt'
 'Effects of butanol fraction of Ziziphus mucronata root ethanol extract on glucose homeostasis, 'In Vitro Activity of Cefiderocol against U.txt', 'Essential role of insulin-like growth factor 2 in resistance to histone deacetylase inhibitors.txt'
 serum insulin and other diabetes-related parameters in a murine model for type 2 diabetes.txt', 'Comparison of visual 24-hour and spectrophotometric 48-hour MICs to CLSI reference microdilution MICs of fluconazole, 'Integrin alphavbeta3 Is a Master Regulator of Resistance to TKI-Induced Ferroptosis in HER2-Positive Breast Cancer.txt'
 'Dysregulated cholesterol homeostasis results in resistance to ferroptosis increasing tumorigenicity and metastasis in cancer.txt', itraconazole,
 'Activating oxidative phosphorylation by a pyruvate dehydrogenase kinase inhibitor overcomes sorafenib resistance of hepatocellular carcinoma.txt', posaconazole,
, and voriconazole for Candida spp.txt',
'The effect of short-term metformin treatment on plasma prolactin levels in bromocriptine-treated patients with hyperprolactinaemia and impaired glucose tolerance  a pilot study.txt','The effect of short-term metformin treatment on plasma prolactin levels in bromocriptine-treated patients with hyperprolactinaemia and impaired glucose tolerance  a pilot study.txt','Regulation of anti-apoptotic signaling by Kruppel-like factors 4 and 5 mediates lapatinib resistance in breast cancer.txt'
 'NAFLD and cardiovascular diseases  a clinical review.txt', 'Dimethyl sulfoxide induces chemotherapeutic resistance in the treatment of testicular embryonal carcinomas.txt', 'ERK signaling mediates resistance to immunomodulatory drugs in the bone marrow microenvironment.txt'
 'Obesity-Induced Insulin Resistance Is Mediated by High Uric Acid in Obese Children and Adolescents.txt', 'Enhanced Sensitivity of Nonsmall Cell Lung Cancer with Acquired Resistance to Epidermal Growth Factor Receptor-Tyrosine Kinase Inhibitors to Phenformin  The Roles of a Metabolic Shift to Oxidative Phosphorylation and Redox Balance.txt', 'Oncogenic PAX6 elicits CDK4 6 inhibitor resistance by epigenetically inactivating the LATS2-Hippo signaling pathway.txt'
