Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis,Drug Disease Matching_Closest,Drug Effectiveness Assessment_Closest,Drug Target Analysis_Closest
 'Third-generation inhibitors targeting EGFR T790M mutation in advanced non-small cell lung cancer.txt', 'Activity of Omadacycline Alone and in Combination against Carbapenem-Nonsusceptible Acinetobacter baumannii with Varying Minocycline Susceptibility.txt', 'Upregulation of microRNA-143 reverses drug resistance in human breast cancer cells via inhibition of cytokine-induced apoptosis inhibitor 1.txt',Third-generation inhibitors targeting EGFR T790M mutation in advanced non-small cell lung cancer.txt,Activity of Omadacycline Alone and in Combination against Carbapenem-Nonsusceptible Acinetobacter baumannii with Varying Minocycline Susceptibility.txt,Upregulation of microRNA-143 reverses drug resistance in human breast cancer cells via inhibition of cytokine-induced apoptosis inhibitor 1.txt
 'New InhA Inhibitors Based on Expanded Triclosan and Di-Triclosan Analogues to Develop a New Treatment for Tuberculosis.txt', 'Pazopanib exposure decreases as a result of an ifosfamide-dependent drug-drug interaction  results of a phase I study.txt', 'PIK3CA PTEN mutations and Akt activation as markers of sensitivity to allosteric mTOR inhibitors.txt',New InhA Inhibitors Based on Expanded Triclosan and Di-Triclosan Analogues to Develop a New Treatment for Tuberculosis.txt,Pazopanib exposure decreases as a result of an ifosfamide-dependent drug-drug interaction  results of a phase I study.txt,PIK3CA PTEN mutations and Akt activation as markers of sensitivity to allosteric mTOR inhibitors.txt
 'Pharmacological Efficacy of Repurposing Drugs in the Treatment of Prostate Cancer.txt', 'Therapeutic drug monitoring of nevirapine in saliva in Uganda using high performance liquid chromatography and a low cost thin-layer chromatography technique.txt', 'Enzymatic and structural analysis of the I47A mutation contributing to the reduced susceptibility to HIV protease inhibitor lopinavir.txt',Pharmacological Efficacy of Repurposing Drugs in the Treatment of Prostate Cancer.txt,Therapeutic drug monitoring of nevirapine in saliva in Uganda using high performance liquid chromatography and a low cost thin-layer chromatography technique.txt,Enzymatic and structural analysis of the I47A mutation contributing to the reduced susceptibility to HIV protease inhibitor lopinavir.txt
'Medicinal plants--prophylactic and therapeutic options for gastrointestinal and respiratory diseases in calves and piglets.txt','Increase of transmitted drug resistance among HIV-infected sub-Saharan Africans residing in Spain in contrast to the native population.txt','The heme oxygenase 1 inducer (CoPP) protects human cardiac stem cells against apoptosis through activation of the extracellular signal-regulated kinase (ERK) NRF2 signaling pathway and cytokine release.txt',Medicinal plants--prophylactic and therapeutic options for gastrointestinal and respiratory diseases in calves and piglets.txt,Increase of transmitted drug resistance among HIV-infected sub-Saharan Africans residing in Spain in contrast to the native population.txt,The heme oxygenase 1 inducer (CoPP) protects human cardiac stem cells against apoptosis through activation of the extracellular signal-regulated kinase (ERK) NRF2 signaling pathway and cytokine release.txt
 'A cure for AIDS  a matter of timing.txt', 'Adult and Pediatric Intra-Institutional Trends of Ciprofloxacin Susceptibility in E.txt', 'An epigenetic mechanism of resistance to targeted therapy in T cell acute lymphoblastic leukemia.txt',A cure for AIDS  a matter of timing.txt,Adult and Pediatric Intra-Institutional Trends of Ciprofloxacin Susceptibility in E.txt,An epigenetic mechanism of resistance to targeted therapy in T cell acute lymphoblastic leukemia.txt
 'Marine algal antagonists targeting 3CL protease and spike glycoprotein of SARS-CoV-2  a computational approach for anti-COVID-19 drug discovery.txt', 'Whole-genome sequencing identifies emergence of a quinolone resistance mutation in a case of Stenotrophomonas maltophilia bacteremia.txt', 'Identification of a chemically induced point mutation mediating herbicide tolerance in annual medics (Medicago spp.txt',Marine algal antagonists targeting 3CL protease and spike glycoprotein of SARS-CoV-2  a computational approach for anti-COVID-19 drug discovery.txt,Whole-genome sequencing identifies emergence of a quinolone resistance mutation in a case of Stenotrophomonas maltophilia bacteremia.txt,Identification of a chemically induced point mutation mediating herbicide tolerance in annual medics (Medicago spp.txt
 'Inhibitors of the Hepatitis C Virus RNA-Dependent RNA Polymerase NS5B.txt', 'Resistance of human cytomegalovirus to antiviral drugs.txt', 'Discovery of a potent dual ALK and EGFR T790M inhibitor.txt',Inhibitors of the Hepatitis C Virus RNA-Dependent RNA Polymerase NS5B.txt,Resistance of human cytomegalovirus to antiviral drugs.txt,Discovery of a potent dual ALK and EGFR T790M inhibitor.txt
 'Natural Products for Esophageal Cancer Therapy  From Traditional Medicine to Modern Drug Discovery.txt', 'Azithromycin Resistance and Decreased Ceftriaxone Susceptibility in Neisseria gonorrhoeae, 'Loss of 53BP1 causes PARP inhibitor resistance in Brca1-mutated mouse mammary tumors.txt',Natural Products for Esophageal Cancer Therapy  From Traditional Medicine to Modern Drug Discovery.txt,"Azithromycin Resistance and Decreased Ceftriaxone Susceptibility in Neisseria gonorrhoeae, Hawaii, USA.txt",Loss of 53BP1 causes PARP inhibitor resistance in Brca1-mutated mouse mammary tumors.txt
 'FOXA1 MND1 TKT axis regulates gastric cancer progression and oxaliplatin sensitivity via PI3K AKT signaling pathway.txt', Hawaii, 'Significantly improved HIV inhibitor efficacy prediction employing proteochemometric models generated from antivirogram data.txt',FOXA1 MND1 TKT axis regulates gastric cancer progression and oxaliplatin sensitivity via PI3K AKT signaling pathway.txt,Malaria.txt,Significantly improved HIV inhibitor efficacy prediction employing proteochemometric models generated from antivirogram data.txt
'A perspective on anti-EGFR therapies targeting triple-negative breast cancer.txt','Antifungal susceptibility profiles and drug resistance mechanisms of clinical Candida duobushaemulonii isolates from China.txt','GPER-mediated proliferation and estradiol production in breast cancer-associated fibroblasts.txt',A perspective on anti-EGFR therapies targeting triple-negative breast cancer.txt,Antifungal susceptibility profiles and drug resistance mechanisms of clinical Candida duobushaemulonii isolates from China.txt,GPER-mediated proliferation and estradiol production in breast cancer-associated fibroblasts.txt
 'Triptolide reduces cyst formation in a neonatal to adult transition Pkd1 model of ADPKD.txt', 'Susceptibility of a panel of virulent strains of Mycobacterium tuberculosis to reactive nitrogen intermediates.txt', 'Pincer movement  Reversing cisplatin resistance based on simultaneous glutathione depletion and glutathione S-transferases inhibition by redox-responsive degradable organosilica hybrid nanoparticles.txt',Triptolide reduces cyst formation in a neonatal to adult transition Pkd1 model of ADPKD.txt,Susceptibility of a panel of virulent strains of Mycobacterium tuberculosis to reactive nitrogen intermediates.txt,Pincer movement  Reversing cisplatin resistance based on simultaneous glutathione depletion and glutathione S-transferases inhibition by redox-responsive degradable organosilica hybrid nanoparticles.txt
 'Niclosamide Revitalizes Sorafenib through Insulin-like Growth Factor 1 Receptor (IGF-1R) Stemness and Metabolic Changes in Hepatocellular Carcinoma.txt', 'Protocol for the selection of Mycobacterium tuberculosis spontaneous resistant mutants to d-cycloserine.txt', 'ClC5 Decreases the Sensitivity of Multiple Myeloma Cells to Bortezomib via Promoting Prosurvival Autophagy.txt',Niclosamide Revitalizes Sorafenib through Insulin-like Growth Factor 1 Receptor (IGF-1R) Stemness and Metabolic Changes in Hepatocellular Carcinoma.txt,Protocol for the selection of Mycobacterium tuberculosis spontaneous resistant mutants to d-cycloserine.txt,ClC5 Decreases the Sensitivity of Multiple Myeloma Cells to Bortezomib via Promoting Prosurvival Autophagy.txt
 'The Novel IGF-1R Inhibitor PB-020 Acts Synergistically with Anti-PD-1 and Mebendazole against Colorectal Cancer.txt', 'Treatment of severe nosocomial pneumonia  a prospective randomised comparison of intravenous ciprofloxacin with imipenem cilastatin.txt', 'Endoplasmic reticulum stress signaling and chemotherapy resistance in solid cancers.txt',The Novel IGF-1R Inhibitor PB-020 Acts Synergistically with Anti-PD-1 and Mebendazole against Colorectal Cancer.txt,Treatment of severe nosocomial pneumonia  a prospective randomised comparison of intravenous ciprofloxacin with imipenem cilastatin.txt,Endoplasmic reticulum stress signaling and chemotherapy resistance in solid cancers.txt
 'Inhibition of influenza viruses in vitro and in vivo by 1-adamantanamine hydrochloride.txt', 'Prevalence of Trichomonas vaginalis isolates with resistance to metronidazole and tinidazole.txt', 'IL-17A is produced by breast cancer TILs and promotes chemoresistance and proliferation through ERK1 2.txt',Inhibition of influenza viruses in vitro and in vivo by 1-adamantanamine hydrochloride.txt,Prevalence of Trichomonas vaginalis isolates with resistance to metronidazole and tinidazole.txt,IL-17A is produced by breast cancer TILs and promotes chemoresistance and proliferation through ERK1 2.txt
 'Sclareolide enhances gemcitabine‑induced cell death through mediating the NICD and Gli1 pathways in gemcitabine‑resistant human pancreatic cancer.txt', 'Efficacy and safety of prolonged-release hyaluronic acid derivative vaginal application in the postpartum period  a prospective randomised clinical trial.txt', 'Circular RNA Eps15-homology domain-containing protein 2 induce resistance of renal cell carcinoma to sunitinib via microRNA-4731-5p ABCF2 axis.txt',Sclareolide enhances gemcitabine‑induced cell death through mediating the NICD and Gli1 pathways in gemcitabine‑resistant human pancreatic cancer.txt,Efficacy and safety of prolonged-release hyaluronic acid derivative vaginal application in the postpartum period  a prospective randomised clinical trial.txt,Circular RNA Eps15-homology domain-containing protein 2 induce resistance of renal cell carcinoma to sunitinib via microRNA-4731-5p ABCF2 axis.txt
'P7170,'Quality of life analyses in patients with multiple myeloma  results from the Selinexor (KPT-330) Treatment of Refractory Myeloma (STORM) phase 2b study.txt','ATP-Sensitive Potassium Channels in Hyperinsulinism and Type 2 Diabetes  Inconvenient Paradox or New Paradigm.txt',RP11-874J12.txt,Quality of life analyses in patients with multiple myeloma  results from the Selinexor (KPT-330) Treatment of Refractory Myeloma (STORM) phase 2b study.txt,ATP-Sensitive Potassium Channels in Hyperinsulinism and Type 2 Diabetes  Inconvenient Paradox or New Paradigm.txt
 a novel inhibitor of mTORC1 mTORC2 and Activin receptor-like Kinase 1 (ALK1) inhibits the growth of non small cell lung cancer.txt', 'Dasatinib in imatinib-resistant or -intolerant chronic-phase, 'Centractin (ARP1) associates with spectrin revealing a potential mechanism to link dynactin to intracellular organelles.txt',"P7170, a novel inhibitor of mTORC1 mTORC2 and Activin receptor-like Kinase 1 (ALK1) inhibits the growth of non small cell lung cancer.txt",Cisplatin carboplatin cross-resistance in ovarian cancer.txt,Centractin (ARP1) associates with spectrin revealing a potential mechanism to link dynactin to intracellular organelles.txt
 'Fullerene Derivatives Strongly Inhibit HIV-1 Replication by Affecting Virus Maturation without Impairing Protease Activity.txt', chronic myeloid leukemia patients  7-year follow-up of study CA180-034.txt', 'The lysine 65 residue in HIV-1 reverse transcriptase function and in nucleoside analog drug resistance.txt',Fullerene Derivatives Strongly Inhibit HIV-1 Replication by Affecting Virus Maturation without Impairing Protease Activity.txt,"Dasatinib in imatinib-resistant or -intolerant chronic-phase, chronic myeloid leukemia patients  7-year follow-up of study CA180-034.txt",The lysine 65 residue in HIV-1 reverse transcriptase function and in nucleoside analog drug resistance.txt
 'MK-8591 (4'-Ethynyl-2-Fluoro-2'-Deoxyadenosine) Exhibits Potent Activity against HIV-2 Isolates and Drug-Resistant HIV-2 Mutants in Culture.txt', 'Hemodynamic effects of peri-operative statin therapy in on-pump cardiac surgery patients.txt', 'Glycogen synthase kinase 3 regulates cell death and survival signaling in tumor cells under redox stress.txt',MK-8591 (4'-Ethynyl-2-Fluoro-2'-Deoxyadenosine) Exhibits Potent Activity against HIV-2 Isolates and Drug-Resistant HIV-2 Mutants in Culture.txt,Hemodynamic effects of peri-operative statin therapy in on-pump cardiac surgery patients.txt,Glycogen synthase kinase 3 regulates cell death and survival signaling in tumor cells under redox stress.txt
 'Discovery of potent antimycobacterial agents targeting lumazine synthase (RibH) of Mycobacterium tuberculosis.txt', 'Substantial Impact of Altered Pharmacokinetics in Critically Ill Patients on the Antibacterial Effects of Meropenem Evaluated via the Dynamic Hollow-Fiber Infection Model.txt', 'TORC1 activates SREBP-1c and uncouples lipogenesis from gluconeogenesis.txt',Discovery of potent antimycobacterial agents targeting lumazine synthase (RibH) of Mycobacterium tuberculosis.txt,Substantial Impact of Altered Pharmacokinetics in Critically Ill Patients on the Antibacterial Effects of Meropenem Evaluated via the Dynamic Hollow-Fiber Infection Model.txt,TORC1 activates SREBP-1c and uncouples lipogenesis from gluconeogenesis.txt
 'A Randomized Phase 2 Study of VT-1161 for the Treatment of Acute Vulvovaginal Candidiasis.txt', 'Blocking of ERK1 and ERK2 sensitizes human mesothelioma cells to doxorubicin.txt', 'CYP56 (Dit2p) in Candida albicans  characterization and investigation of its role in growth and antifungal drug susceptibility.txt',A Randomized Phase 2 Study of VT-1161 for the Treatment of Acute Vulvovaginal Candidiasis.txt,Blocking of ERK1 and ERK2 sensitizes human mesothelioma cells to doxorubicin.txt,CYP56 (Dit2p) in Candida albicans  characterization and investigation of its role in growth and antifungal drug susceptibility.txt
'Practical High-Throughput Method to Screen Compounds for Anthelmintic Activity against Caenorhabditis elegans.txt','Effect of mutations in the human immunodeficiency virus type 1 protease on cleavage of the gp41 cytoplasmic tail.txt','Identification of FtpA,Practical High-Throughput Method to Screen Compounds for Anthelmintic Activity against Caenorhabditis elegans.txt,Effect of mutations in the human immunodeficiency virus type 1 protease on cleavage of the gp41 cytoplasmic tail.txt,Identification of a chrXq27.txt
 'Predictive biomarkers of immunotherapy response with pharmacological applications in solid tumors.txt', 'S-1153 inhibits replication of known drug-resistant strains of human immunodeficiency virus type 1.txt', a Dps-Like Protein Involved in Anti-Oxidative Stress and Virulence in Actinobacillus pleuropneumoniae.txt',Predictive biomarkers of immunotherapy response with pharmacological applications in solid tumors.txt,S-1153 inhibits replication of known drug-resistant strains of human immunodeficiency virus type 1.txt,"Identification of FtpA, a Dps-Like Protein Involved in Anti-Oxidative Stress and Virulence in Actinobacillus pleuropneumoniae.txt"
 'Structure-based discovery of potent inhibitors of Axl  design, 'Efficacy of PermaNet® 2.txt', 'Mutations in the tetA(B) gene that cause a change in substrate specificity of the tetracycline efflux pump.txt',"Structure-based discovery of potent inhibitors of Axl  design, synthesis, and biological evaluation.txt",Efficacy of PermaNet® 2.txt,Mutations in the tetA(B) gene that cause a change in substrate specificity of the tetracycline efflux pump.txt
 synthesis, 'The Effect of Cinnamaldehyde on iNOS Activity and NO-Induced Islet Insulin Secretion in High-Fat-Diet Rats.txt', 'RPN2-mediated glycosylation of tetraspanin CD63 regulates breast cancer cell malignancy.txt',Aromatic Biosynthesis  VI.txt,The Effect of Cinnamaldehyde on iNOS Activity and NO-Induced Islet Insulin Secretion in High-Fat-Diet Rats.txt,RPN2-mediated glycosylation of tetraspanin CD63 regulates breast cancer cell malignancy.txt
 and biological evaluation.txt', 'Intrahippocampal administration of a domain antibody that binds aggregated amyloid-β reverses cognitive deficits produced by diet-induced obesity.txt', 'Genomic library screens for genes involved in n-butanol tolerance in Escherichia coli.txt',DDT and malaria prevention.txt,Intrahippocampal administration of a domain antibody that binds aggregated amyloid-β reverses cognitive deficits produced by diet-induced obesity.txt,Genomic library screens for genes involved in n-butanol tolerance in Escherichia coli.txt
 'A synthetic lethal screen identifies HDAC4 as a potential target in MELK overexpressing cancers.txt', 'Paclitaxel nanocrystals for overcoming multidrug resistance in cancer.txt', 'Inhibition of filovirus replication by the zinc finger antiviral protein.txt',A synthetic lethal screen identifies HDAC4 as a potential target in MELK overexpressing cancers.txt,Paclitaxel nanocrystals for overcoming multidrug resistance in cancer.txt,Inhibition of filovirus replication by the zinc finger antiviral protein.txt
 'Inhibition of glutamine synthetase  a potential drug target in Mycobacterium tuberculosis.txt', 'Inhibition or knock out of inducible nitric oxide synthase result in resistance to bleomycin-induced lung injury.txt', 'Targeting PD-L2-RGMb overcomes microbiome-related immunotherapy resistance.txt',Inhibition of glutamine synthetase  a potential drug target in Mycobacterium tuberculosis.txt,Inhibition or knock out of inducible nitric oxide synthase result in resistance to bleomycin-induced lung injury.txt,Targeting PD-L2-RGMb overcomes microbiome-related immunotherapy resistance.txt
 'Developing Folate-Conjugated miR-34a Therapeutic for Prostate Cancer  Challenges and Promises.txt', 'The timing of azithromycin treatment is not associated with the clinical prognosis of childhood Mycoplasma pneumoniae pneumonia in high macrolide-resistant prevalence settings.txt', 'Type I interferon gene transfer sensitizes melanoma cells to apoptosis via a target activity on mitochondrial function.txt',Developing Folate-Conjugated miR-34a Therapeutic for Prostate Cancer  Challenges and Promises.txt,The timing of azithromycin treatment is not associated with the clinical prognosis of childhood Mycoplasma pneumoniae pneumonia in high macrolide-resistant prevalence settings.txt,Type I interferon gene transfer sensitizes melanoma cells to apoptosis via a target activity on mitochondrial function.txt
 'Overcoming the Blood-Brain Tumor Barrier with Docetaxel-Loaded Mesoporous Silica Nanoparticles for Treatment of Temozolomide-Resistant Glioblastoma.txt', 'Colistimethate sodium for the treatment of chronic pulmonary infection in cystic fibrosis  an evidence-based review of its place in therapy.txt', 'RNautophagic regulation of DNMT3a-dependent DNA methylation by Linc00942 enhances chemoresistance in gastric cancer.txt',Overcoming the Blood-Brain Tumor Barrier with Docetaxel-Loaded Mesoporous Silica Nanoparticles for Treatment of Temozolomide-Resistant Glioblastoma.txt,Colistimethate sodium for the treatment of chronic pulmonary infection in cystic fibrosis  an evidence-based review of its place in therapy.txt,RNautophagic regulation of DNMT3a-dependent DNA methylation by Linc00942 enhances chemoresistance in gastric cancer.txt
 'Emerging Nano-Based Strategies Against Drug Resistance in Tumor Chemotherapy.txt', 'Bortezomib Plus Continuous B Cell Depletion Results in Sustained Plasma Cell Depletion and Amelioration of Lupus Nephritis in NZB W F1 Mice.txt', 'Statin-Induced Geranylgeranyl Pyrophosphate Depletion Promotes PCSK9-Dependent Adipose Insulin Resistance.txt',Emerging Nano-Based Strategies Against Drug Resistance in Tumor Chemotherapy.txt,Bortezomib Plus Continuous B Cell Depletion Results in Sustained Plasma Cell Depletion and Amelioration of Lupus Nephritis in NZB W F1 Mice.txt,Statin-Induced Geranylgeranyl Pyrophosphate Depletion Promotes PCSK9-Dependent Adipose Insulin Resistance.txt
 'Current and future landscape of poly (ADP-ribose) polymerase inhibition resistance.txt', 'Azithromycin as treatment for disseminated Mycobacterium avium complex in AIDS patients.txt', 'Involvement of MAP3K8 and miR-17-5p in poor virologic response to interferon-based combination therapy for chronic hepatitis C.txt',Current and future landscape of poly (ADP-ribose) polymerase inhibition resistance.txt,Azithromycin as treatment for disseminated Mycobacterium avium complex in AIDS patients.txt,Involvement of MAP3K8 and miR-17-5p in poor virologic response to interferon-based combination therapy for chronic hepatitis C.txt
'Gemcitabine as a molecular targeting agent that blocks the Akt cascade in platinum-resistant ovarian cancer.txt','Late resistance to imatinib therapy in a metastatic gastrointestinal stromal tumour is associated with a second KIT mutation.txt','Gemcitabine as a molecular targeting agent that blocks the Akt cascade in platinum-resistant ovarian cancer.txt',Gemcitabine as a molecular targeting agent that blocks the Akt cascade in platinum-resistant ovarian cancer.txt,Late resistance to imatinib therapy in a metastatic gastrointestinal stromal tumour is associated with a second KIT mutation.txt,Gemcitabine as a molecular targeting agent that blocks the Akt cascade in platinum-resistant ovarian cancer.txt
 'Review of Platensimycin and Platencin  Inhibitors of β-Ketoacyl-acyl Carrier Protein (ACP) Synthase III (FabH).txt', 'Silencing of Taxol-Sensitizer Genes in Cancer Cells  Lack of Sensitization Effects.txt', 'Review of Platensimycin and Platencin  Inhibitors of β-Ketoacyl-acyl Carrier Protein (ACP) Synthase III (FabH).txt',Review of Platensimycin and Platencin  Inhibitors of β-Ketoacyl-acyl Carrier Protein (ACP) Synthase III (FabH).txt,Silencing of Taxol-Sensitizer Genes in Cancer Cells  Lack of Sensitization Effects.txt,Review of Platensimycin and Platencin  Inhibitors of β-Ketoacyl-acyl Carrier Protein (ACP) Synthase III (FabH).txt
 'Purine and pyrimidine pathways as targets in Plasmodium falciparum.txt', 'Pathways to tamoxifen resistance.txt', 'Improved glucose homeostasis in mice with muscle-specific deletion of protein-tyrosine phosphatase 1B.txt',Purine and pyrimidine pathways as targets in Plasmodium falciparum.txt,Pathways to tamoxifen resistance.txt,Improved glucose homeostasis in mice with muscle-specific deletion of protein-tyrosine phosphatase 1B.txt
 'Targeting the replication initiator of the second Vibrio chromosome  towards generation of vibrionaceae-specific antimicrobial agents.txt', 'Phosphoproteomics Reveals MAPK Inhibitors Enhance MET- and EGFR-Driven AKT Signaling in KRAS-Mutant Lung Cancer.txt', 'Disruption of the Candida albicans CYB5 gene results in increased azole sensitivity.txt',Targeting the replication initiator of the second Vibrio chromosome  towards generation of vibrionaceae-specific antimicrobial agents.txt,Phosphoproteomics Reveals MAPK Inhibitors Enhance MET- and EGFR-Driven AKT Signaling in KRAS-Mutant Lung Cancer.txt,Disruption of the Candida albicans CYB5 gene results in increased azole sensitivity.txt
 'Daclatasvir  potential role in hepatitis C.txt', 'Effect of transporter inhibition on the distribution of cefadroxil in rat brain.txt', 'N-cadherin expression is associated with acquisition of EMT phenotype and with enhanced invasion in erlotinib-resistant lung cancer cell lines.txt',Daclatasvir  potential role in hepatitis C.txt,Effect of transporter inhibition on the distribution of cefadroxil in rat brain.txt,N-cadherin expression is associated with acquisition of EMT phenotype and with enhanced invasion in erlotinib-resistant lung cancer cell lines.txt
 'Unveiling Anti-Diabetic Potential of Baicalin and Baicalein from Baikal Skullcap  LC-MS, 'Chidamide enhances cytotoxicity of doxorubicin by promoting autophagy and apoptosis in breast cancer.txt', 'The molecular basis of inactivation of metronidazole-resistant Helicobacter pylori using polyethyleneimine functionalized zinc oxide nanoparticles.txt',"Unveiling Anti-Diabetic Potential of Baicalin and Baicalein from Baikal Skullcap  LC-MS, In Silico, and In Vitro Studies.txt",Chidamide enhances cytotoxicity of doxorubicin by promoting autophagy and apoptosis in breast cancer.txt,The molecular basis of inactivation of metronidazole-resistant Helicobacter pylori using polyethyleneimine functionalized zinc oxide nanoparticles.txt
 In Silico, 'Frequency and mutation patterns of resistance in patients with chronic hepatitis B infection treated with nucleos(t)ide analogs in add-on and switch strategies.txt', 'PPP6C negatively regulates oncogenic ERK signaling through dephosphorylation of MEK.txt',In silico models of M.txt,Frequency and mutation patterns of resistance in patients with chronic hepatitis B infection treated with nucleos(t)ide analogs in add-on and switch strategies.txt,PPP6C negatively regulates oncogenic ERK signaling through dephosphorylation of MEK.txt
 and In Vitro Studies.txt', 'In vitro activity of ceftaroline against Streptococcus pneumoniae isolates exhibiting resistance to penicillin, 'Single-Cell Phosphoproteomics Resolves Adaptive Signaling Dynamics and Informs Targeted Combination Therapy in Glioblastoma.txt',Studies on candida.txt,"In vitro activity of ceftaroline against Streptococcus pneumoniae isolates exhibiting resistance to penicillin, amoxicillin, and cefotaxime.txt",Single-Cell Phosphoproteomics Resolves Adaptive Signaling Dynamics and Informs Targeted Combination Therapy in Glioblastoma.txt
